contig-100_0_0,
contig-100_0_1,K03761
contig-100_0_2,K05811
contig-100_0_3,K00998
contig-100_0_4,K09181
contig-100_0_5,K05812
contig-100_0_6,K03672
contig-100_0_7,K03214
contig-100_0_8,K03648
contig-100_0_9,K06866
contig-100_0_10,K05590
contig-100_0_11,K15460
contig-100_0_12,K00278
contig-100_0_13,K03088
contig-100_0_14,K03597
contig-100_0_15,K03598
contig-100_0_16,K03803
contig-100_0_17,K03596
contig-100_0_18,K03100
contig-100_0_19,K03685
contig-100_0_20,K03595
contig-100_0_21,K03584
contig-100_0_22,K03474
contig-100_0_23,K00997
contig-100_0_24,
contig-100_0_25,
contig-100_0_26,K07106
contig-100_0_27,K02810
contig-100_0_28,K18697
contig-100_0_29,K11991
contig-100_0_30,K18691
contig-100_0_31,K01952
contig-100_0_32,K07711
contig-100_0_33,
contig-100_0_34,K07715
contig-100_0_35,K04751
contig-100_0_36,K05916
contig-100_0_37,K00600
contig-100_0_38,K15977
contig-100_0_39,
contig-100_0_40,
contig-100_0_41,K08138
contig-100_0_42,K01785
contig-100_0_43,K05820
contig-100_0_44,
contig-100_0_45,
contig-100_0_46,K08970
contig-100_0_47,K01092
contig-100_0_48,K15396
contig-100_0_49,K13643
contig-100_0_50,K04487
contig-100_0_51,K04488
contig-100_0_52,K13628
contig-100_0_53,K04082
contig-100_0_54,K04044
contig-100_0_55,K04755
contig-100_0_56,
contig-100_0_57,K07751
contig-100_0_58,
contig-100_0_59,
contig-100_0_60,K01011
contig-100_0_61,K01232
contig-100_0_62,K02791
contig-100_0_63,K06894
contig-100_0_64,K05367
contig-100_0_65,K00940
contig-100_0_66,K06941
contig-100_0_67,K15539
contig-100_0_68,K03526
contig-100_0_69,K01892
contig-100_0_70,
contig-100_0_71,K17713
contig-100_0_72,K03977
contig-100_0_73,K03305
contig-100_0_74,
contig-100_0_75,
contig-100_0_76,
contig-100_0_77,
contig-100_0_78,
contig-100_0_79,K03601
contig-100_0_80,K00088
contig-100_0_81,K01951
contig-100_0_82,
contig-100_0_83,
contig-100_0_84,
contig-100_0_85,
contig-100_0_86,
contig-100_0_87,
contig-100_0_88,
contig-100_0_89,K05825
contig-100_0_90,
contig-100_0_91,
contig-100_0_92,
contig-100_0_93,K01524
contig-100_0_94,K00937
contig-100_0_95,K11175
contig-100_0_96,K01933
contig-100_0_97,
contig-100_0_98,K01223
contig-100_0_99,K00761
contig-100_0_100,K02824
contig-100_0_101,K10763
contig-100_0_102,K00537
contig-100_0_103,K01423
contig-100_0_104,K03548
contig-100_0_105,K03564
contig-100_0_106,K03567
contig-100_0_107,K01714
contig-100_0_108,K07287
contig-100_0_109,K01923
contig-100_0_110,K07054
contig-100_0_111,K06957
contig-100_0_112,K06999
contig-100_0_113,
contig-100_0_114,K01439
contig-100_0_115,
contig-100_0_116,K18324
contig-100_0_117,K07674
contig-100_0_118,
contig-100_0_119,K12945
contig-100_0_120,
contig-100_0_121,K00615
contig-100_0_122,K00616
contig-100_0_123,K00029
contig-100_0_124,K00228
contig-100_0_125,K01448
contig-100_0_126,
contig-100_0_127,
contig-100_0_128,
contig-100_0_129,K07223
contig-100_0_130,K02048
contig-100_0_131,K02046
contig-100_0_132,K02047
contig-100_0_133,K02045
contig-100_0_134,K12339
contig-100_0_135,K00868
contig-100_0_136,K02777
contig-100_0_137,K08483
contig-100_0_138,K02784
contig-100_0_139,K01738
contig-100_0_140,K06203
contig-100_0_141,K03528
contig-100_0_142,K01972
contig-100_0_143,K09954
contig-100_0_144,K14347
contig-100_0_145,
contig-100_0_146,K03815
contig-100_0_147,K11537
contig-100_0_148,
contig-100_0_149,
contig-100_0_150,
contig-100_0_151,K01885
contig-100_0_152,
contig-100_0_153,
contig-100_0_154,
contig-100_0_155,K11535
contig-100_0_156,K03322
contig-100_0_157,
contig-100_0_158,K19265
contig-100_0_159,K04103
contig-100_0_160,
contig-100_0_161,K00845
contig-100_0_162,K02477
contig-100_0_163,K02478
contig-100_0_164,K14261
contig-100_0_165,K12974
contig-100_0_166,
contig-100_0_167,
contig-100_0_168,
contig-100_0_169,
contig-100_0_170,
contig-100_0_171,
contig-100_0_172,
contig-100_0_173,
contig-100_0_174,
contig-100_0_175,
contig-100_0_176,K12543
contig-100_0_177,K12541
contig-100_0_178,K12542
contig-100_0_179,K09912
contig-100_0_180,
contig-100_0_181,K02406
contig-100_0_182,
contig-100_0_183,K21990
contig-100_0_184,K04754
contig-100_0_185,K06076
contig-100_0_186,
contig-100_0_187,K00632
contig-100_0_188,K01782
contig-100_0_189,K08296
contig-100_0_190,
contig-100_0_191,K07320
contig-100_0_192,K01736
contig-100_0_193,K07261
contig-100_0_194,K07090
contig-100_0_195,K09906
contig-100_0_196,
contig-100_0_197,K15461
contig-100_0_198,K00647
contig-100_0_199,
contig-100_0_200,K03473
contig-100_0_201,
contig-100_0_202,K06173
contig-100_0_203,K03975
contig-100_0_204,K01963
contig-100_0_205,K11754
contig-100_0_206,K03749
contig-100_0_207,K03558
contig-100_0_208,K00764
contig-100_0_209,K03186
contig-100_0_210,K10013
contig-100_0_211,K10014
contig-100_0_212,K10016
contig-100_0_213,K10015
contig-100_0_214,K10017
contig-100_0_215,
contig-100_0_216,K07071
contig-100_0_217,K07589
contig-100_0_218,K11209
contig-100_0_219,K00799
contig-100_0_220,K07095
contig-100_0_221,
contig-100_0_222,
contig-100_0_223,K02821
contig-100_0_224,K02822
