,E,P,P/E,glc,ac,E_Glucose,P_acetate,R/F
0,iEcSMS35_1347,303.176_PID,0.30231858283856416,-13.859616187726962,11.256742874309609,1.0000009416047873,0.30231882178608793,
1,iEcolC_1368,303.176_PID,0.30231858283856217,-13.859616187726932,11.256742874309577,1.0000009416047864,0.3023188217860879,
2,iZ_1308,303.176_PID,0.30231858283856694,-13.859616187727028,11.256742874309671,1.0000009416047901,0.30231882178608827,
3,iECED1_1282,303.176_PID,0.30233058050171835,-13.859763039707884,11.256702080162347,1.0000009414707955,0.3023177116739356,
4,iEC1364_W,303.176_PID,0.3277147224312386,-14.054115208621326,12.189988021333349,1.0000003389765666,0.3277147878017744,
5,iJO1366,303.176_PID,0.3556725732874841,-14.42277574956287,13.2173839638202,1.0000008660847266,0.35567283561296675,
6,iLF82_1304,303.176_PID,0.3023185828385628,-13.859616187726974,11.25674287430962,1.0000009416047877,0.3023188217860868,
7,e_coli_core,303.176_PID,0.25150244307510555,-13.722779397467956,9.389361411099959,1.0000007781546276,0.25150263878289547,
8,iJR904,303.176_PID,0.37248860967261355,-14.908910670413054,13.835331329165502,1.0000003761405665,0.3724887497806902,
9,iWFL_1372,303.176_PID,0.30231858283856494,-13.859616187726953,11.256742874309603,1.0000009416047861,0.3023188217860889,
10,iEcHS_1320,303.176_PID,0.35578311719467975,-14.424806924610458,13.221446257084676,1.0000008697211662,0.3557833809096886,
11,iECIAI39_1322,303.176_PID,0.3128194837325577,-13.96124726855141,11.642628051163,1.0000009512335104,0.3128197355798322,
12,iECO111_1330,303.176_PID,0.30231858283856083,-13.859616187726951,11.256742874309573,1.0000009416047908,0.30231882178608693,
13,iB21_1397,303.176_PID,0.011847728609487294,-13.32342983367297,0.582575760440521,0.9999995887927434,0.011847678020575441,
14,iEC1372_W3110,303.176_PID,0.35567506754578315,-14.422598581800022,13.217475625223914,1.0000008663059257,0.35567532995210516,
15,iECIAI1_1343,303.176_PID,0.356953694445007,-14.446314770202255,13.264462193533713,1.0000008540273488,0.3569539535761236,
16,iAPECO1_1312,303.176_PID,0.31282969644321307,-13.963776368480698,11.64300330477961,1.00000094765879,0.3128299471819232,
17,iECABU_c1320,303.176_PID,0.3023185828385668,-13.85961618772697,11.256742874309621,1.0000009416047864,0.30231882178608926,
18,iBWG_1329,303.176_PID,0.3023185828385664,-13.859616187726974,11.256742874309621,1.0000009416047877,0.30231882178608926,
19,iE2348C_1286,303.176_PID,0.3023185828385632,-13.859616187726958,11.256742874309586,1.0000009416047888,0.3023188217860881,
20,iAF1260,303.176_PID,0.46029921732311285,-16.23117304782746,17.062163908979826,0.9999996225159756,0.4602990435675119,
21,iEC042_1314,303.176_PID,0.30231858283856344,-13.85961618772696,11.25674287430961,1.0000009416047868,0.30231882178608627,
22,iYS1720,303.176_PID,0.39915121752512006,-14.438090783485658,14.815123450617321,1.0000003994262834,0.3991513769566074,
23,iECOK1_1307,303.176_PID,0.31282969644321446,-13.963776368480644,11.643003304779562,1.0000009476587874,0.3128299471819241,
24,STM_v1_0,303.176_PID,0.4285542641895545,-15.08690676822708,15.895607735567562,0.999999600852427,0.42855409313316006,
25,iETEC_1333,303.176_PID,0.30231858283856217,-13.859616187726958,11.25674287430956,1.0000009416047926,0.30231882178608527,
26,iEC55989_1330,303.176_PID,0.30231858283856206,-13.859616187726958,11.256742874309595,1.000000941604788,0.3023188217860884,
27,iEC1368_DH5a,303.176_PID,0.35567506754578154,-14.422598581800061,13.217475625223964,1.0000008663059334,0.355675329952104,
28,iECB_1328,303.176_PID,0.3023185828385623,-13.859616187726978,11.25674287430962,1.0000009416047884,0.3023188217860866,
29,iECD_1391,303.176_PID,0.011847728609487209,-13.323429833673012,0.5825757604405232,0.9999995887927474,0.01184767802057583,
30,iG2583_1286,303.176_PID,0.26225618496100117,-13.123513007046292,9.78453723616904,1.0000008976733092,0.26225637466427865,
31,iY75_1357,303.176_PID,0.302318582838565,-13.859616187726992,11.256742874309644,1.000000941604787,0.30231882178608754,
32,iECNA114_1301,303.176_PID,0.3023185828385663,-13.85961618772698,11.256742874309646,1.0000009416047846,0.3023188217860884,
33,iECBD_1354,303.176_PID,0.011847727997549143,-10.619065021108396,0.5825756714419859,0.9999994360254907,0.01184767559869986,
34,iAF1260b,303.176_PID,0.46029921732311185,-16.231173047827458,17.06216390897983,0.9999996225159777,0.46029904356751183,
35,iEcE24377_1341,303.176_PID,0.30231858283856083,-13.85961618772696,11.25674287430959,1.000000941604789,0.302318821786089,
36,iECSE_1348,303.176_PID,0.3023185828385634,-13.859616187726983,11.256742874309621,1.0000009416047888,0.30231882178608716,
37,iECSP_1301,303.176_PID,0.3023185828385642,-13.859616187726997,11.25674287430964,1.0000009416047886,0.30231882178609054,
38,iECH74115_1262,303.176_PID,0.26225618496100067,-13.123513007046302,9.784537236169053,1.0000008976733101,0.26225637466427754,
39,iECSF_1327,303.176_PID,0.3023185828385602,-13.859616187726964,11.256742874309571,1.0000009416047926,0.30231882178608854,
40,iECDH1ME8569_1439,303.176_PID,0.3557831171946797,-14.42480692461041,13.22144625708462,1.0000008697211575,0.355783380909686,
41,iEC1344_C,303.176_PID,0.35567506761370793,-14.42259850642143,13.217475557922082,1.0000008609657136,0.3556753281206504,
42,iUMNK88_1353,303.176_PID,0.3557831171946786,-14.424806924610401,13.221446257084612,1.000000869721158,0.35578338090968464,
43,iNRG857_1313,303.176_PID,0.30231858283856317,-13.859616187726964,11.2567428743096,1.0000009416047881,0.30231882178608727,
