EX_co2_e,EX_h_e,EX_h2o_e,EX_meoh_e,EX_ac_e,EX_glyclt_e,EX_dha_e,EX_glc__D_e,Name
19.595786726385832,20.444983525992903,46.005575593945984,2.0000018832095742e-06,11.256742874309609,,,-13.859616187726962,iEcSMS35_1347.xml
19.595786726385825,20.444983525992786,46.00557559394593,2.0000018832095725e-06,11.256742874309577,,,-13.859616187726932,iEcolC_1368.xml
19.595786726385896,20.444983525992896,46.00557559394627,2.00000188320958e-06,11.256742874309671,,,-13.859616187727028,iZ_1308.xml
19.595411430806283,20.44561173124431,46.00520029482784,2.000001882941591e-06,11.256702080162347,0.0006690006298438819,,-13.859763039707884,iECED1_1282.xml
18.89743029499834,21.378223135928675,45.30809924759309,2.0000006779531333e-06,12.189988021333349,,,-14.054115208621326,iEC1364_W.xml
19.05346501835647,22.405623921607653,45.46325189144995,2.000001732169453e-06,13.2173839638202,,,-14.42277574956287,iJO1366.xml
19.595786726385857,20.444983525992843,46.00557559394604,2.0000018832095755e-06,11.25674287430962,,,-13.859616187726974,iLF82_1304.xml
21.002420447848557,29.449377020881794,28.28682611623812,,9.389361411099959,,,-13.722779397467956,e_coli_core.xml
20.323860769763733,22.97635476747388,41.49368373259003,,13.835331329165502,,,-14.908910670413054,iJR904.xml
19.595786726385832,20.444983525992786,46.005575593945984,2.000001883209572e-06,11.256742874309603,,,-13.859616187726953,iWFL_1372.xml
19.057527332843527,22.409686248284416,45.4673143019739,2.0000017394423324e-06,13.221446257084676,,,-14.424806924610458,iEcHS_1320.xml
19.44651347447325,20.824847785589828,45.844260584871094,2.0000019024670208e-06,11.642628051163,,,-13.96124726855141,iECIAI39_1322.xml
19.595786726385914,20.44498352599273,46.005575593945885,2.0000018832095814e-06,11.256742874309573,,,-13.859616187726951,iECO111_1330.xml
21.500879095777613,9.770803982172843,47.91063223589121,1.9999991775854867e-06,0.582575760440521,,5.408726421591087,-13.32342983367297,iB21_1397.xml
19.05333368085793,22.405715585043875,45.46401656056954,2.000001732611851e-06,13.217475625223914,,,-14.422598581800022,iEC1372_W3110.xml
19.10054317770226,23.33453279364188,45.51032973236245,2.0000017080546978e-06,13.264462193533713,,,-14.446314770202255,iECIAI1_1343.xml
19.448226701461166,20.8312440120884,45.858015728906196,2.0000018953175803e-06,11.64300330477961,,,-13.963776368480698,iAPECO1_1312.xml
19.595786726385835,20.444983525992846,46.00557559394608,2.0000018832095725e-06,11.256742874309621,,,-13.85961618772697,iECABU_c1320.xml
19.59578672638585,20.44498352599285,46.00557559394603,2.0000018832095755e-06,11.256742874309621,,,-13.859616187726974,iBWG_1329.xml
19.595786726385874,20.444983525992747,46.005575593945935,2.0000018832095776e-06,11.256742874309586,,,-13.859616187726958,iE2348C_1286.xml
22.31282592693803,26.246517442031855,48.65383998362249,,17.062163908979826,,,-16.23117304782746,iAF1260.xml
19.59578672638584,20.44498352599285,46.00557559394601,2.0000018832095734e-06,11.25674287430961,,,-13.85961618772696,iEC042_1314.xml
18.941887098954503,23.336474354267544,46.38566756071762,,14.815123450617321,,,-14.438090783485658,iYS1720.xml
19.4482267014611,20.831244012088387,45.858015728905976,2.0000018953175748e-06,11.643003304779562,,,-13.963776368480644,iECOK1_1307.xml
20.04757707831839,24.3732238517464,47.61586457449923,,15.895607735567562,,,-15.08690676822708,STM_v1_0.xml
19.595786726385942,20.444983525992715,46.00557559394586,2.0000018832095852e-06,11.25674287430956,,,-13.859616187726958,iETEC_1333.xml
19.595786726385853,20.444983525992804,46.005575593945956,2.000001883209576e-06,11.256742874309595,,,-13.859616187726958,iEC55989_1330.xml
19.053333680858053,22.405715585043826,45.46401656056945,2.000001732611867e-06,13.217475625223964,,,-14.422598581800061,iEC1368_DH5a.xml
19.59578672638586,20.444983525992843,46.00557559394605,2.0000018832095768e-06,11.25674287430962,,,-13.859616187726978,iECB_1328.xml
21.500879095777684,9.770803982172927,47.910632235891185,1.999999177585495e-06,0.5825757604405232,,5.408726421591129,-13.323429833673012,iECD_1391.xml
18.12358072189902,18.972777484199675,44.53336842923948,2.0000017953466183e-06,9.78453723616904,,,-13.123513007046292,iG2583_1286.xml
19.59578672638583,20.444983525992846,46.00557559394616,2.000001883209574e-06,11.256742874309644,,,-13.859616187726992,iY75_1357.xml
19.595786726385786,20.444983525992864,46.00557559394611,2.000001883209569e-06,11.256742874309646,,,-13.85961618772698,iECNA114_1301.xml
21.500875934009926,9.770802489513233,47.910625039576004,1.9999988720509813e-06,0.5825756714419859,,,-10.619065021108396,iECBD_1354.xml
22.312825926938068,26.24651744203184,48.65383998362241,,17.06216390897983,,,-16.231173047827458,iAF1260b.xml
19.59578672638588,20.44498352599281,46.0055755939459,2.000001883209578e-06,11.25674287430959,,,-13.85961618772696,iEcE24377_1341.xml
19.595786726385864,20.44498352599287,46.00557559394606,2.0000018832095776e-06,11.256742874309621,,,-13.859616187726983,iECSE_1348.xml
19.595786726385867,20.444983525992892,46.00557559394614,2.000001883209577e-06,11.25674287430964,,,-13.859616187726997,iECSP_1301.xml
18.12358072189904,18.972777484199668,44.5333684292395,2.00000179534662e-06,9.784537236169053,,,-13.123513007046302,iECH74115_1262.xml
19.595786726385953,20.44498352599272,46.0055755939459,2.0000018832095852e-06,11.256742874309571,,,-13.859616187726964,iECSF_1327.xml
19.057527332843385,22.409686248284448,45.46731430197399,2.000001739442315e-06,13.22144625708462,,,-14.42480692461041,iECDH1ME8569_1439.xml
19.05333358239142,22.405715468674806,45.46401632106415,2.000001721931427e-06,13.217475557922082,,,-14.42259850642143,iEC1344_C.xml
19.057527332843392,22.40968624828438,45.46731430197386,2.000001739442316e-06,13.221446257084612,,,-14.424806924610401,iUMNK88_1353.xml
19.595786726385857,20.444983525992814,46.00557559394601,2.0000018832095763e-06,11.2567428743096,,,-13.859616187726964,iNRG857_1313.xml
19.595786726385878,20.444983525992974,46.00557559394635,2.000001883209577e-06,11.256742874309701,,,-13.85961618772704,iEKO11_1354.xml
19.448226701461067,20.831244012088337,45.858015728905954,2.000001895317572e-06,11.643003304779551,,,-13.963776368480632,iECP_1309.xml
19.595786726385857,20.444983525992907,46.00557559394599,2.000001883209576e-06,11.256742874309603,,,-13.859616187726967,iECs_1301.xml
18.83971496593087,21.320507834451696,45.250384212254666,2.000000700196316e-06,12.132272617668505,,,-14.025257595307014,iEC1349_Crooks.xml
18.416345471196717,21.60953376769624,42.6468125447405,,13.208348249556071,,,-13.825620272285008,iYL1228.xml
24.60706612720914,27.9600949597597,51.01428973272501,1.9999991370180076e-06,18.77169992447115,,,-17.199309044238053,iML1515.xml
19.057527332843446,22.40968624828431,45.46731430197372,2.0000017394423235e-06,13.22144625708462,,,-14.424806924610401,iUTI89_1310.xml
19.5957867263859,20.444983525992892,46.005575593946155,2.0000018832095806e-06,11.25674287430965,,,-13.859616187727013,iECO103_1326.xml
19.595786726385946,20.44498352599286,46.00557559394614,2.0000018832095852e-06,11.256742874309632,,,-13.85961618772701,iECO26_1355.xml
19.44822670146112,20.831244012088426,45.85801572890611,2.0000018953175765e-06,11.643003304779597,,,-13.963776368480682,iUMN146_1321.xml
20.86404026116467,24.213518994801362,47.26175228077797,1.9999992438448415e-06,15.031311466389493,,,-15.327053779879183,iSDY_1059.xml
19.595786726385917,20.44498352599288,46.00557559394601,2.0000018832095823e-06,11.256742874309607,,,-13.859616187726987,iECW_1372.xml
19.595786726385835,20.444983525992875,46.00557559394603,2.0000018832095734e-06,11.256742874309612,,,-13.859616187726965,iEcDH1_1363.xml
19.448226701461095,20.83124401208838,45.858015728906054,2.0000018953175735e-06,11.643003304779585,,,-13.963776368480655,iECS88_1305.xml
21.513414896846353,9.475006933674706,47.92404962537101,1.999998086267039e-06,0.2867837255860038,,,-10.522369011876759,iEC1356_Bl21DE3.xml
