Sanger_ID,Condition,R_F
259,E_only,0.3530736841572935
269,E_only,0.2454099422664545
270,E_only,0.32666627875035736
273,E_only,0.3058805265393808
276,E_only,0.31124916549159887
277,E_only,0.3147121184639598
278,E_only,0.34938019566912304
280,E_only,0.22814669515963243
283,E_only,0.30957217219361155
284,E_only,0.19015103995648
286,E_only,0.3154792346110808
287,E_only,0.277291468089532
160,E_only,0.282779163173904
288,E_only,0.2629224185503495
289,E_only,0.31371578290093033
165,E_only,0.33396801166651424
295,E_only,0.28707985502985417
169,E_only,0.2945856846971824
303,E_only,0.24778342099818254
305,E_only,0.23231543392312531
435,E_only,0.3291441799387669
308,E_only,0.22127030741639941
438,E_only,0.26166224337073823
439,E_only,0.3515173305926731
440,E_only,0.32145620729676305
310,E_only,0.21065583582062278
442,E_only,0.35020894909000627
311,E_only,0.26815900492296807
317,E_only,0.24035892604198764
320,E_only,0.22614500946394464
448,E_only,0.20193246012706995
322,E_only,0.20376382251441152
327,E_only,0.1863679271726006
458,E_only,0.21196676070410594
332,E_only,0.3055047822253989
461,E_only,0.21966417361445997
460,E_only,0.274626000554327
338,E_only,0.177687131927389
340,E_only,0.22018621456726203
343,E_only,0.2878121181549989
344,E_only,0.28527101988576836
345,E_only,0.22271312893616083
346,E_only,0.22875482429292676
348,E_only,0.3219417445733926
356,E_only,0.21347078169386388
358,E_only,0.25173456418776136
360,E_only,0.2008162336118079
364,E_only,0.19429388860178037
259,Both,0.5321784346588461
269,Both,0.2942825271825472
270,Both,0.5489565920601911
273,Both,0.3573077339455933
276,Both,0.5649205745674742
277,Both,0.6015216611607259
278,Both,0.5740914972983252
280,Both,0.2772474197604195
283,Both,0.5693243765163775
284,Both,0.30451588872010665
286,Both,0.4938764826917511
287,Both,0.40784372584415074
160,Both,0.5250427208030778
288,Both,0.45512382259553047
289,Both,0.5023275603944358
165,Both,0.5708216590276574
295,Both,0.4031784422148727
169,Both,0.46091202912590795
303,Both,0.29638106151487126
305,Both,0.279896680310683
435,Both,0.5611942577560786
308,Both,0.25412063388581857
438,Both,0.40563951689673133
439,Both,0.578246113910258
440,Both,0.3718404415685254
310,Both,0.2765586946827526
442,Both,0.5956755477007943
311,Both,0.34730735911631333
317,Both,0.29778168306165526
320,Both,0.27027062079346514
448,Both,0.26422301957424355
322,Both,0.2655386228740111
327,Both,0.2182281570823395
458,Both,0.3253592089965519
332,Both,0.47241351911852003
461,Both,0.335379281126434
460,Both,0.4268733306830438
338,Both,0.2146920689253487
340,Both,0.33256443273832115
343,Both,0.46410654138380886
344,Both,0.46416486002646135
345,Both,0.3625569078011468
346,Both,0.35982025278920127
348,Both,0.5140229959389542
356,Both,0.3559204339560508
358,Both,0.36923315761429154
360,Both,0.23597689767159993
364,Both,0.3201230334149656
259,P_only,0.7424491784483057
269,P_only,0.3413404223604227
270,P_only,0.832041964995146
273,P_only,0.4057496381482262
276,P_only,0.9067040972974684
277,P_only,1.0077365929811934
278,P_only,0.8586893562318759
280,P_only,0.32495863546576503
283,P_only,0.9228949848317213
284,P_only,0.4321166454413651
286,P_only,0.7062169393667087
287,P_only,0.5528062740689403
160,P_only,0.8494662206637678
288,P_only,0.6942177669869686
289,P_only,0.7308951038227103
165,P_only,0.8784470260970619
295,P_only,0.5279899035061714
169,P_only,0.6564586403043721
303,P_only,0.34293966142815185
305,P_only,0.3255158232689618
435,P_only,0.8610024743522111
308,P_only,0.284265958242318
438,P_only,0.570511275378481
439,P_only,0.8660990109525517
440,P_only,0.41873745692346
310,P_only,0.3418090616805175
442,P_only,0.9168382639369739
311,P_only,0.4264977405007801
317,P_only,0.3538161766542651
320,P_only,0.31240643663467815
448,P_only,0.3255597008788922
322,P_only,0.32620602383767033
327,P_only,0.24796968553005355
458,P_only,0.45049103782864214
332,P_only,0.6679285403110313
461,P_only,0.4632705310558116
460,P_only,0.6029355617199146
338,P_only,0.25014964736821227
340,P_only,0.4559364716411347
343,P_only,0.6755013607305362
344,P_only,0.6798676744164959
345,P_only,0.5240422026271032
346,P_only,0.5083818454122181
348,P_only,0.7473370070299886
356,P_only,0.521809170618869
358,P_only,0.4978110411426202
360,P_only,0.2688605718204716
364,P_only,0.4633528883452631
