D_ace_glu,w_ac_R,w_glc_F,R_F,E,E_Genus,P,P_Species
0.8683062940220023,0.02756768135858852,0.07242311782699513,0.33051865141234005,g6935,Klebsiella,g6939,P.putida
0.868300944558579,0.02756768499899142,0.07242346016769868,0.3305150964686121,g6938,Citrobacter,g6939,P.putida
0.8683062940220017,0.02756768135858822,0.07242311782699472,0.3305186514123381,g6936,Enterobacter,g6939,P.putida
0.8694414703468634,0.027566909860407822,0.07235047183780581,0.3312737848577284,g6939,Raoultella,g6939,P.putida
