contig-100_0_0,
contig-100_0_1,
contig-100_0_2,K01759
contig-100_0_3,K09824
contig-100_0_4,
contig-100_0_5,K17737
contig-100_0_6,K01028
contig-100_0_7,K01029
contig-100_0_8,K00626
contig-100_0_9,K00074
contig-100_0_10,
contig-100_0_11,K00019
contig-100_0_12,
contig-100_0_13,K02010
contig-100_0_14,K02011
contig-100_0_15,K02012
contig-100_0_16,
contig-100_0_17,
contig-100_0_18,K02028
contig-100_0_18,K02029
contig-100_0_19,
contig-100_0_20,K02030
contig-100_0_21,
contig-100_0_22,
contig-100_0_23,K02003
contig-100_0_24,K02004
contig-100_0_25,K02004
contig-100_0_26,
contig-100_0_27,K07230
contig-100_0_28,K07243
contig-100_0_29,
contig-100_0_30,
contig-100_0_31,K13574
contig-100_0_32,K22015
contig-100_0_33,
contig-100_0_34,
contig-100_0_35,
contig-100_0_36,K02016
contig-100_0_37,K02015
contig-100_0_38,K02015
contig-100_0_39,K02013
contig-100_0_40,K02014
contig-100_0_41,K02049
contig-100_0_42,K02050
contig-100_0_43,K02051
contig-100_0_44,K15553
contig-100_0_45,
contig-100_0_46,K04091
contig-100_0_47,
contig-100_0_48,
contig-100_0_49,
contig-100_0_50,K05810
contig-100_0_51,K05819
contig-100_0_52,K01666
contig-100_0_53,K04073
contig-100_0_54,K02554
contig-100_0_55,K05714
contig-100_0_56,K05713
contig-100_0_57,K05712
contig-100_0_58,K05818
contig-100_0_59,K02016
contig-100_0_60,K02015
contig-100_0_61,K02013
contig-100_0_62,K02020
contig-100_0_63,K00014
contig-100_0_64,K08194
contig-100_0_65,K00457
contig-100_0_66,
contig-100_0_67,K01675
contig-100_0_68,K00873
contig-100_0_69,K06078
contig-100_0_70,K19234
contig-100_0_71,K02426
contig-100_0_72,K11717
contig-100_0_73,K09015
contig-100_0_74,K09013
contig-100_0_75,K09014
contig-100_0_76,K05997
contig-100_0_77,
contig-100_0_78,
contig-100_0_79,K09946
contig-100_0_80,K19222
contig-100_0_81,
contig-100_0_82,
contig-100_0_83,K17641
contig-100_0_84,K03292
contig-100_0_85,K01007
contig-100_0_86,K09773
contig-100_0_87,K01626
contig-100_0_88,
contig-100_0_89,K08997
contig-100_0_90,K13695
contig-100_0_91,K06074
contig-100_0_92,K00432
contig-100_0_93,K02073
contig-100_0_94,K06073
contig-100_0_95,
contig-100_0_96,
contig-100_0_97,K00285
contig-100_0_98,
contig-100_0_99,K04764
contig-100_0_100,K01890
contig-100_0_101,K01889
contig-100_0_102,K02887
contig-100_0_103,K02916
contig-100_0_104,K02520
contig-100_0_105,K01868
contig-100_0_106,
contig-100_0_107,K07283
contig-100_0_108,K16370
contig-100_0_109,
contig-100_0_110,
contig-100_0_111,K03832
contig-100_0_112,K09780
contig-100_0_113,
contig-100_0_114,K06131
contig-100_0_115,K09901
contig-100_0_116,K10716
contig-100_0_117,K10823
contig-100_0_118,K15583
contig-100_0_119,K15582
contig-100_0_120,K15581
contig-100_0_121,K15580
contig-100_0_122,
contig-100_0_123,K04072
contig-100_0_124,
contig-100_0_125,K00857
contig-100_0_126,K03746
contig-100_0_127,K00963
contig-100_0_128,K02485
contig-100_0_129,K07001
contig-100_0_130,K09858
contig-100_0_131,K01433
contig-100_0_132,K00374
contig-100_0_133,K00373
contig-100_0_134,K00371
contig-100_0_135,K00370
contig-100_0_136,K02575
contig-100_0_137,K07673
contig-100_0_138,K07684
contig-100_0_139,
contig-100_0_140,K00372
contig-100_0_141,K00362
contig-100_0_142,K15578
contig-100_0_143,K15577
contig-100_0_144,K15576
contig-100_0_145,
contig-100_0_146,K06039
contig-100_0_147,
contig-100_0_148,K07232
contig-100_0_149,K07300
contig-100_0_150,K01627
contig-100_0_151,
contig-100_0_152,
contig-100_0_153,K02493
contig-100_0_154,K02835
contig-100_0_155,K02492
contig-100_0_156,K02494
contig-100_0_157,K00919
contig-100_0_158,K00948
contig-100_0_159,K03321
contig-100_0_160,
contig-100_0_161,
contig-100_0_162,K01056
contig-100_0_163,K06942
contig-100_0_164,K15532
contig-100_0_165,K13921
contig-100_0_166,K15024
contig-100_0_167,
contig-100_0_168,K04028
contig-100_0_169,
contig-100_0_170,K00932
contig-100_0_171,K04027
contig-100_0_172,
contig-100_0_173,K13922
contig-100_0_174,
contig-100_0_175,K00656
contig-100_0_176,K04069
contig-100_0_177,K02440
contig-100_0_178,
contig-100_0_179,K00789
contig-100_0_180,K07720
contig-100_0_181,
contig-100_0_182,
contig-100_0_183,K00134
contig-100_0_184,K06177
contig-100_0_185,K02511
contig-100_0_186,K01752
contig-100_0_187,K09022
contig-100_0_188,K00656
contig-100_0_189,K00932
contig-100_0_190,K03838
contig-100_0_191,K01754
contig-100_0_192,K07592
contig-100_0_193,
contig-100_0_194,K05847
contig-100_0_195,K05846
contig-100_0_196,K05846
contig-100_0_197,K05845
contig-100_0_198,
contig-100_0_199,
contig-100_0_200,
contig-100_0_201,K07395
contig-100_0_202,
contig-100_0_203,
contig-100_0_204,
contig-100_0_205,
contig-100_0_206,K01194
contig-100_0_207,K02014
contig-100_0_208,K08308
contig-100_0_209,K01297
contig-100_0_210,K11105
contig-100_0_211,
contig-100_0_212,K11932
contig-100_0_213,
contig-100_0_214,
contig-100_0_215,
contig-100_0_216,
contig-100_0_217,K12973
contig-100_0_218,
contig-100_0_219,K01775
contig-100_0_220,K00285
contig-100_0_221,
contig-100_0_222,K03603
contig-100_0_223,K03314
contig-100_0_224,K03611
contig-100_0_225,
contig-100_0_226,
contig-100_0_227,K09160
contig-100_0_228,
contig-100_0_229,K09902
contig-100_0_230,K03610
contig-100_0_231,K03609
contig-100_0_232,K03608
contig-100_0_233,K03684
contig-100_0_234,K01897
contig-100_0_235,K07285
contig-100_0_236,K14742
contig-100_0_237,K03722
contig-100_0_238,
contig-100_0_239,K09917
contig-100_0_240,K01665
contig-100_0_241,
contig-100_0_242,K01752
contig-100_0_243,K21090
contig-100_0_244,
contig-100_0_245,K02794
contig-100_0_246,K02795
contig-100_0_247,K02796
contig-100_0_248,
contig-100_0_249,K23242
contig-100_0_250,K00563
contig-100_0_251,K03587
contig-100_0_252,K03704
contig-100_0_253,
contig-100_0_254,
contig-100_0_255,K19333
contig-100_0_256,K08169
contig-100_0_257,K03799
contig-100_0_258,K03797
contig-100_0_259,K03607
contig-100_0_260,K08968
contig-100_0_261,K03808
contig-100_0_262,
contig-100_0_263,K11392
contig-100_0_264,
contig-100_0_265,
contig-100_0_266,K07313
contig-100_0_267,K09824
contig-100_0_268,
contig-100_0_269,
contig-100_0_270,K07346
contig-100_0_271,K07347
contig-100_0_272,
contig-100_0_273,
contig-100_0_274,K07245
contig-100_0_275,K07156
contig-100_0_276,K02345
contig-100_0_277,K10857
contig-100_0_278,K01354
contig-100_0_279,
contig-100_0_280,K09918
contig-100_0_281,K08289
contig-100_0_282,
contig-100_0_283,K01625
contig-100_0_284,K01690
contig-100_0_285,K00036
contig-100_0_286,K19337
contig-100_0_287,K00873
contig-100_0_288,K11616
contig-100_0_289,K13936
contig-100_0_290,K00027
contig-100_0_291,K07703
contig-100_0_292,K02560
contig-100_0_293,K19304
contig-100_0_294,K09815
contig-100_0_295,K09817
contig-100_0_296,K09816
contig-100_0_297,K03551
contig-100_0_298,K03550
contig-100_0_299,K01159
contig-100_0_300,
contig-100_0_301,K08310
contig-100_0_302,K01876
contig-100_0_303,
contig-100_0_304,
contig-100_0_305,K07136
contig-100_0_306,K15256
contig-100_0_307,K15257
contig-100_0_308,K06201
contig-100_0_309,K09907
contig-100_0_310,K01887
contig-100_0_311,K15532
contig-100_0_312,K16210
contig-100_0_313,K14064
contig-100_0_314,K00697
contig-100_0_315,K01087
contig-100_0_316,K10538
contig-100_0_317,K10539
contig-100_0_318,K10537
contig-100_0_319,K02255
contig-100_0_320,K16210
contig-100_0_321,
contig-100_0_322,
contig-100_0_323,
contig-100_0_324,K02217
contig-100_0_325,
contig-100_0_326,K03834
contig-100_0_327,K07039
contig-100_0_328,K00995
contig-100_0_329,K03703
contig-100_0_330,K07689
contig-100_0_331,
contig-100_0_332,K07782
contig-100_0_333,K10010
contig-100_0_334,K10009
contig-100_0_335,K05396
contig-100_0_336,K02424
contig-100_0_337,K01176
contig-100_0_338,
contig-100_0_339,K07781
contig-100_0_340,
contig-100_0_341,
contig-100_0_342,K21085
contig-100_0_343,
contig-100_0_344,K09781
contig-100_0_345,
contig-100_0_346,K07458
contig-100_0_347,K00558
contig-100_0_348,K06950
contig-100_0_349,
contig-100_0_350,K09476
contig-100_0_351,K09933
contig-100_0_352,
contig-100_0_353,
contig-100_0_354,
contig-100_0_355,
contig-100_0_356,K03566
contig-100_0_357,
contig-100_0_358,
contig-100_0_359,K16291
contig-100_0_360,K13635
contig-100_0_361,K19338
contig-100_0_362,K02821
contig-100_0_363,K02822
contig-100_0_364,K03475
contig-100_0_365,K08093
contig-100_0_366,K03476
contig-100_0_367,
contig-100_0_368,
contig-100_0_369,
contig-100_0_370,K01241
contig-100_0_371,
contig-100_0_372,
contig-100_0_373,
contig-100_0_374,K08172
contig-100_0_375,
contig-100_0_376,K01251
contig-100_0_377,K00768
contig-100_0_378,K09802
contig-100_0_379,
contig-100_0_380,K07470
contig-100_0_381,K07258
contig-100_0_382,K01141
contig-100_0_383,K02355
contig-100_0_384,
contig-100_0_385,
contig-100_0_386,
contig-100_0_387,
contig-100_0_388,K00765
contig-100_0_389,K00013
contig-100_0_390,K00817
contig-100_0_391,K01089
contig-100_0_392,K02501
contig-100_0_393,K01814
contig-100_0_394,K02500
contig-100_0_395,K11755
contig-100_0_396,K12995
contig-100_0_397,K12994
contig-100_0_398,K12993
contig-100_0_399,K18827
contig-100_0_400,K09691
contig-100_0_401,K09690
contig-100_0_402,K01840
contig-100_0_403,K00971
contig-100_0_404,K08679
contig-100_0_405,
contig-100_0_406,
contig-100_0_407,K00012
contig-100_0_408,K00033
contig-100_0_409,
contig-100_0_410,
contig-100_0_411,
contig-100_0_412,K12997
contig-100_0_413,
contig-100_0_414,K00067
contig-100_0_415,K01790
contig-100_0_416,K00973
contig-100_0_417,K01710
contig-100_0_418,K12992
contig-100_0_419,K00996
contig-100_0_420,K16692
contig-100_0_421,K01991
contig-100_0_422,
contig-100_0_423,
contig-100_0_424,
contig-100_0_425,K00963
contig-100_0_426,
contig-100_0_427,K07289
contig-100_0_428,K01494
contig-100_0_429,K00876
contig-100_0_430,K01247
contig-100_0_431,K04046
contig-100_0_432,
contig-100_0_433,K07660
contig-100_0_434,
contig-100_0_435,
contig-100_0_436,
contig-100_0_437,K02035
contig-100_0_438,
contig-100_0_439,K02031
contig-100_0_440,K02034
contig-100_0_441,K02033
contig-100_0_442,K01259
contig-100_0_443,K07782
contig-100_0_444,K18457
contig-100_0_445,K06987
contig-100_0_446,K03719
contig-100_0_447,K10023
contig-100_0_448,K10024
contig-100_0_449,K10014
contig-100_0_450,K01482
contig-100_0_451,
contig-100_0_452,K07799
contig-100_0_453,K07788
contig-100_0_454,K07789
contig-100_0_455,K18326
contig-100_0_456,K07642
contig-100_0_457,K07664
contig-100_0_458,K08303
contig-100_0_459,K06903
contig-100_0_460,
contig-100_0_461,
contig-100_0_462,
contig-100_0_463,K07076
contig-100_0_464,
contig-100_0_465,
contig-100_0_466,K07497
contig-100_0_467,K07497
contig-100_0_468,
contig-100_0_469,K06915
contig-100_0_470,
contig-100_0_471,
contig-100_0_472,
contig-100_0_473,K02032
contig-100_0_474,K02031
contig-100_0_475,K02034
contig-100_0_476,K02033
contig-100_0_477,K02035
contig-100_0_478,
contig-100_0_479,K24204
contig-100_0_480,
contig-100_0_481,K00854
contig-100_0_482,K00007
contig-100_0_483,
contig-100_0_484,K03435
contig-100_0_485,K00039
contig-100_0_486,K00875
contig-100_0_487,K11645
contig-100_0_488,K00941
contig-100_0_489,K00878
contig-100_0_490,
contig-100_0_491,
contig-100_0_492,
contig-100_0_493,
contig-100_0_494,
contig-100_0_495,
contig-100_0_496,
contig-100_0_497,K14060
contig-100_0_498,K07459
contig-100_0_499,K03657
contig-100_0_500,
contig-100_0_501,K16089
contig-100_0_502,
contig-100_0_503,K01728
contig-100_0_504,K11192
contig-100_0_505,K07106
contig-100_0_506,K15835
contig-100_0_507,K01207
contig-100_0_508,
contig-100_0_509,
contig-100_0_510,
contig-100_0_511,
contig-100_0_512,
contig-100_0_513,K01486
contig-100_0_514,K06901
contig-100_0_515,
contig-100_0_516,
contig-100_0_517,K02761
contig-100_0_518,
contig-100_0_519,
contig-100_0_520,K23243
contig-100_0_521,K03593
contig-100_0_522,K01874
contig-100_0_523,
contig-100_0_524,K02477
contig-100_0_525,K02478
contig-100_0_526,K21089
contig-100_0_527,
contig-100_0_528,K05846
contig-100_0_529,K05847
contig-100_0_530,K05846
contig-100_0_531,K05845
contig-100_0_532,K05349
contig-100_0_533,K03777
contig-100_0_534,
contig-100_0_535,K07262
contig-100_0_536,
contig-100_0_537,
contig-100_0_538,
contig-100_0_539,
contig-100_0_540,K01223
contig-100_0_541,K02757
contig-100_0_542,K03488
contig-100_0_543,K07267
contig-100_0_544,K05541
contig-100_0_545,K06518
contig-100_0_546,
contig-100_0_547,K01489
contig-100_0_548,K03748
contig-100_0_549,K13069
contig-100_0_550,K10541
contig-100_0_551,K10542
contig-100_0_552,K10540
contig-100_0_553,K02529
contig-100_0_554,K07148
contig-100_0_555,K01495
contig-100_0_556,K01070
contig-100_0_557,
contig-100_0_558,K16089
contig-100_0_559,
contig-100_0_560,K11733
contig-100_0_561,
contig-100_0_562,
contig-100_0_563,K01151
contig-100_0_564,K02770
contig-100_0_565,K00882
contig-100_0_566,K11183
contig-100_0_567,K03291
contig-100_0_568,K21699
contig-100_0_569,K01480
contig-100_0_570,K00146
contig-100_0_571,K03457
contig-100_0_572,K00108
contig-100_0_573,K02356
contig-100_0_574,K01686
contig-100_0_575,
contig-100_0_576,
contig-100_0_577,K19803
contig-100_0_578,K13694
contig-100_0_579,
contig-100_0_580,K13893
contig-100_0_581,K13894
contig-100_0_582,K13895
contig-100_0_583,K13896
contig-100_0_584,
contig-100_0_585,K07552
contig-100_0_586,K06183
contig-100_0_587,K19789
contig-100_0_588,K02897
contig-100_0_589,
contig-100_0_590,
contig-100_0_591,K06899
contig-100_0_592,K09904
contig-100_0_593,K07014
contig-100_0_594,
contig-100_0_595,
contig-100_0_596,
contig-100_0_597,
contig-100_0_598,K08276
contig-100_0_599,K00116
contig-100_0_600,K03321
contig-100_0_601,K06213
contig-100_0_602,K06159
contig-100_0_603,K03919
contig-100_0_604,K10778
contig-100_0_605,K03734
contig-100_0_606,K09475
contig-100_0_607,K07676
contig-100_0_608,K07687
contig-100_0_609,K07677
contig-100_0_610,K02469
contig-100_0_611,K00568
contig-100_0_612,K00525
contig-100_0_613,K00526
contig-100_0_614,K11107
contig-100_0_615,K02445
contig-100_0_616,K00111
contig-100_0_617,K00112
contig-100_0_618,K00113
contig-100_0_619,
contig-100_0_620,
contig-100_0_621,K12944
contig-100_0_622,K07649
contig-100_0_623,K07774
contig-100_0_624,
contig-100_0_625,
contig-100_0_626,
contig-100_0_627,K07795
contig-100_0_628,K07794
contig-100_0_629,K07793
contig-100_0_630,K01911
contig-100_0_631,K02549
contig-100_0_632,K01661
contig-100_0_633,K08680
contig-100_0_634,K02551
contig-100_0_635,K02552
contig-100_0_636,K02348
contig-100_0_637,K00784
contig-100_0_638,K00343
contig-100_0_639,K00342
contig-100_0_640,K00341
contig-100_0_641,K00340
contig-100_0_642,K00339
contig-100_0_643,K00338
contig-100_0_644,K00337
contig-100_0_645,K00336
contig-100_0_646,K00335
contig-100_0_647,K00334
contig-100_0_648,K13378
contig-100_0_649,K00331
contig-100_0_650,K00330
contig-100_0_651,
contig-100_0_652,K14260
contig-100_0_653,K08722
contig-100_0_654,
contig-100_0_655,K19270
contig-100_0_656,K09161
contig-100_0_657,K09899
