time_hours,CommunityReplicate,SangerID,Genus,type,Family,ChromoType,mean.glu,abs.mean,pH.orig,aceConc_nmol_uL,succConc_nmol_uL,lacConc_nmol_uL
0,C2R6,278,Citrobacter,mono,Enterobacteriacea,B,0.2,0.036,6.953037794,0.188296523,0.018452389,0
0,C2R8,288,Raoultella,mono,Enterobacteriacea,B,0.2,0.036,6.915059278,0.188296523,0.018452389,0
0,C2R8,289,Citrobacter,mono,Enterobacteriacea,B,0.2,0.036,6.991876505,0.188296523,0.018452389,0
0,C2R8,290,Pseudomonas,mono,Pseudomonadaceae,W,0.2,0.035,6.964590871,0.188296523,0.018452389,0
0,C2R8,444,Pseudomonas,mono,Pseudomonadaceae,W,0.2,0.035,6.953037794,0.188296523,0.018452389,0
0,C4R1,294,Pseudomonas,mono,Pseudomonadaceae,W,0.2,0.034,6.915059278,0.188296523,0.018452389,0
0,C4R1,295,Klebsiella,mono,Enterobacteriacea,B,0.2,0.037,7.006945251,0.188296523,0.018452389,0
0,C7R1,303,Enterobacter,mono,Enterobacteriacea,B,0.2,0.036,6.964590871,0.188296523,0.018452389,0
0,C7R1,304,Pseudomonas,mono,Pseudomonadaceae,W,0.2,0.034333333,6.972338269,0.188296523,0.018452389,0
0,C7R1,305,Klebsiella,mono,Enterobacteriacea,B,0.2,0.036666667,6.985988638,0.188296523,0.018452389,0
0,C7R1,308,Enterobacter,mono,Enterobacteriacea,B,0.2,0.036666667,6.915059278,0.188296523,0.018452389,0
0,C8R2,310,Klebsiella,mono,Enterobacteriacea,B,0.2,0.037,6.933952033,0.188296523,0.018452389,0
0,C8R2,311,Klebsiella,mono,Enterobacteriacea,B,0.2,0.036,6.824319251,0.188296523,0.018452389,0
0,C8R4,316,Pseudomonas,mono,Pseudomonadaceae,W,0.2,0.035,7.002884355,0.188296523,0.018452389,0
0,C8R4,317,Klebsiella,mono,Enterobacteriacea,B,0.2,0.037,6.991876505,0.188296523,0.018452389,0
0,C8R5,320,Enterobacter,mono,Enterobacteriacea,B,0.2,0.036,6.985988638,0.188296523,0.018452389,0
0,C8R5,321,Pseudomonas,mono,Pseudomonadaceae,W,0.2,0.035,7.004944103,0.188296523,0.018452389,0
0,C8R5,322,Klebsiella,mono,Enterobacteriacea,B,0.2,0.036,6.953037794,0.188296523,0.018452389,0
0,C8R5,325,Pseudomonas,mono,Pseudomonadaceae,W,0.2,0.035,6.972338269,0.188296523,0.018452389,0
0,C8R5,448,Klebsiella,mono,Enterobacteriacea,B,0.2,0.036333333,7.004944103,0.188296523,0.018452389,0
0,C8R5,449,Pseudomonas,mono,Pseudomonadaceae,W,0.2,0.035,6.985988638,0.188296523,0.018452389,0
0,KAP,225,Klebsiella,mono,Enterobacteriacea,B,0.2,0.037,6.721856751,0.188296523,0.018452389,0
0,KAP,226,Pseudomonas,mono,Pseudomonadaceae,W,0.2,0.036333333,6.669082233,0.188296523,0.018452389,0
0,KAP,235,Klebsiella,mono,Enterobacteriacea,B,0.2,0.036,6.779665288,0.188296523,0.018452389,0
16,C10R2,326,Pseudomonas,mono,Pseudomonadaceae,W,0.06282788,0.058333333,6.421494952,0.06062903,0.019609687,0
16,C10R2,327,Enterobacter,mono,Enterobacteriacea,B,0.001126663,0.188666667,6.112306215,6.643209389,0.571247244,0.373094031
16,C11R1,332,Enterobacter,mono,Enterobacteriacea,B,0.018632225,0.138333333,5.43228445,9.65176778,0.168815796,3.874438009
16,C11R1,335,Pseudomonas,mono,Pseudomonadaceae,W,0.074916923,0.035,6.841021978,0.277349649,0.035925692,0
16,C11R1,336,Acinetobacter,mono,Moraxellaceae,W,0.070128406,0.038,6.915059278,0.063394205,0.031884312,0
